iter	Passed	Remaining
350	492	911
351	493	909
352	494	907
353	496	905
354	497	903
355	499	902
356	500	901
357	501	899
358	502	897
359	503	895
360	505	894
361	506	892
362	507	890
363	508	889
364	510	887
365	511	885
366	512	884
367	513	882
368	515	881
369	517	880
370	518	878
371	519	877
372	521	875
373	522	874
374	523	872
375	524	870
376	525	868
377	526	867
378	528	865
379	529	863
380	530	861
381	531	859
382	532	858
383	534	856
384	535	855
385	536	853
386	537	851
387	538	849
388	539	847
389	540	846
390	542	844
391	543	842
392	543	840
393	545	838
394	546	836
395	547	835
396	548	833
397	549	831
398	551	831
399	553	829
400	554	828
401	555	826
402	556	824
403	558	823
404	559	821
405	560	820
406	561	818
407	563	817
408	564	815
409	565	814
410	566	812
411	567	810
412	569	808
413	570	807
414	571	805
415	572	803
416	573	802
417	575	800
418	576	799
419	577	797
420	578	795
421	579	794
422	581	792
423	582	791
424	583	789
425	584	787
426	585	786
427	587	784
428	588	782
429	589	781
430	590	779
431	591	777
432	592	775
433	594	774
434	595	773
435	596	771
436	597	769
437	598	767
438	599	766
439	600	764
440	601	762
441	602	761
442	604	759
443	605	758
444	606	756
445	607	754
446	608	753
447	610	751
448	611	750
449	612	748
450	613	747
451	615	745
452	616	744
453	617	742
454	618	741
455	620	739
456	621	738
457	622	736
458	623	734
459	624	733
460	625	731
461	626	729
462	627	728
463	628	726
464	630	725
465	631	723
466	632	722
467	633	720
468	634	718
469	635	716
470	636	715
471	638	713
472	640	713
473	641	711
474	642	709
475	643	707
476	644	706
477	645	705
478	646	703
479	647	701
480	649	700
481	650	698
482	651	697
483	652	695
484	653	693
485	654	692
486	655	690
487	656	688
488	657	687
489	658	685
490	659	684
491	661	682
492	662	681
493	664	680
494	665	678
495	666	676
496	667	675
497	668	673
498	669	672
499	670	670
500	671	668
501	672	667
502	674	666
503	675	664
504	676	662
505	677	661
506	678	659
507	679	658
508	680	656
509	681	655
510	682	653
511	683	651
512	684	650
513	686	648
514	687	647
515	688	645
516	689	644
517	690	642
518	691	640
519	692	639
520	693	637
521	694	636
522	695	634
523	696	632
524	697	631
525	698	629
526	700	628
527	701	626
528	702	625
529	703	623
530	704	622
531	705	620
532	706	618
533	707	617
534	708	615
535	709	614
536	710	612
537	711	611
538	712	609
539	713	608
540	714	606
541	716	605
542	717	603
543	718	602
544	719	600
545	720	598
546	721	597
547	722	596
548	724	594
549	724	593
550	725	591
551	727	590
552	728	588
553	729	587
554	730	586
555	732	584
556	733	583
557	734	581
558	735	580
559	737	579
560	738	577
561	739	576
562	740	575
563	742	573
564	743	572
565	744	570
566	745	569
567	746	567
568	747	566
569	749	565
570	750	563
571	751	562
572	753	561
573	755	560
574	756	559
575	758	558
576	759	556
577	760	555
578	761	554
579	763	552
580	764	551
581	765	549
582	766	548
583	768	547
584	769	546
585	771	544
586	772	543
587	773	542
588	774	540
589	776	539
590	777	538
591	778	536
592	779	535
593	781	534
594	783	532
595	784	531
596	785	530
597	786	528
598	787	527
599	789	526
600	790	524
601	791	523
602	793	522
603	794	520
604	795	519
605	797	518
606	798	516
607	799	515
608	800	514
609	802	512
610	803	511
611	804	510
612	805	508
613	807	507
614	808	506
615	809	504
616	810	503
617	811	501
618	813	500
619	814	499
620	816	498
621	817	496
622	818	495
623	819	493
624	821	492
625	822	491
626	824	490
627	826	489
628	827	488
629	829	486
630	831	486
631	832	484
632	834	483
633	836	482
634	837	481
635	839	480
636	840	479
637	841	477
638	843	476
639	844	475
640	846	473
641	847	472
642	848	470
643	849	469
644	850	468
645	852	467
646	854	465
647	855	464
648	856	463
649	857	461
650	859	460
651	860	459
652	861	457
653	863	456
654	864	455
655	865	453
656	866	452
657	867	451
658	869	449
659	870	448
660	871	446
661	872	445
662	873	444
663	875	442
664	876	441
665	877	440
666	878	438
667	879	437
668	881	435
669	882	434
670	883	433
671	884	431
672	885	430
673	887	429
674	888	427
675	889	426
676	890	424
677	891	423
678	892	422
679	893	420
680	894	419
681	895	417
682	896	416
683	898	414
684	899	413
685	900	412
686	901	410
687	902	409
688	903	407
689	904	406
690	905	404
691	906	403
692	907	401
693	908	400
694	909	399
695	910	397
696	911	396
697	912	394
698	913	393
699	915	392
700	916	390
701	917	389
702	918	388
703	919	386
704	920	385
705	922	384
706	923	382
707	924	381
708	925	379
709	926	378
710	928	377
711	929	375
712	930	374
713	931	373
714	932	371
715	934	370
716	935	369
717	936	367
718	937	366
719	938	365
720	940	363
721	941	362
722	942	361
723	943	359
724	944	358
725	946	357
726	947	355
727	948	354
728	949	352
729	950	351
730	951	350
731	952	348
732	953	347
733	954	346
734	955	344
735	957	343
736	958	341
737	959	340
738	960	339
739	961	337
740	963	336
741	964	335
742	965	333
743	966	332
744	967	331
745	968	329
746	969	328
747	970	327
748	972	325
749	973	324
750	974	323
751	975	321
752	976	320
753	977	318
754	978	317
755	980	316
756	981	315
757	982	313
758	983	312
759	985	311
760	986	309
761	988	308
762	989	307
763	990	306
764	992	304
765	993	303
766	994	302
767	995	300
768	996	299
769	998	298
770	999	296
771	1000	295
772	1002	294
773	1003	292
774	1004	291
775	1005	290
776	1006	288
777	1008	287
778	1009	286
779	1010	285
780	1011	283
781	1013	282
782	1014	281
783	1015	279
784	1017	278
785	1018	277
786	1019	275
787	1020	274
788	1022	273
789	1023	272
790	1025	270
791	1026	269
792	1027	268
793	1028	266
794	1030	265
795	1031	264
796	1033	263
797	1034	261
798	1036	260
799	1037	259
800	1039	258
801	1040	256
802	1042	255
803	1043	254
804	1045	253
805	1047	252
806	1048	250
807	1050	249
808	1052	248
809	1053	247
810	1055	245
811	1057	244
812	1059	243
813	1060	242
814	1062	241
815	1064	240
816	1066	238
817	1067	237
818	1070	236
819	1071	235
820	1072	233
821	1074	232
822	1077	231
823	1079	230
824	1080	229
825	1081	227
826	1083	226
827	1084	225
828	1086	224
829	1088	222
830	1089	221
831	1091	220
832	1093	219
833	1095	217
834	1096	216
835	1098	215
836	1100	214
837	1102	213
838	1105	212
839	1108	211
840	1109	209
841	1112	208
842	1113	207
843	1115	206
844	1116	204
845	1118	203
846	1120	202
847	1121	201
848	1123	199
849	1124	198
850	1125	197
851	1127	195
852	1128	194
853	1130	193
854	1131	191
855	1132	190
856	1134	189
857	1135	187
858	1137	186
859	1138	185
860	1140	184
861	1141	182
862	1142	181
863	1144	180
864	1145	178
865	1147	177
866	1148	176
867	1150	174
868	1151	173
869	1153	172
870	1155	171
871	1157	169
872	1158	168
873	1159	167
874	1161	165
875	1162	164
876	1164	163
877	1165	161
878	1167	160
879	1168	159
880	1170	158
881	1171	156
882	1173	155
883	1174	154
884	1176	152
885	1177	151
886	1179	150
887	1180	148
888	1181	147
889	1183	146
890	1184	144
891	1186	143
892	1188	142
893	1189	141
894	1191	139
895	1192	138
896	1193	137
897	1195	135
898	1196	134
899	1198	133
900	1199	131
901	1201	130
902	1204	129
903	1206	128
904	1207	126
905	1208	125
906	1210	124
907	1211	122
908	1213	121
909	1214	120
910	1215	118
911	1217	117
912	1218	116
913	1221	114
914	1222	113
915	1223	112
916	1225	110
917	1226	109
918	1228	108
919	1229	106
920	1230	105
921	1233	104
922	1234	103
923	1236	101
924	1238	100
925	1239	99
926	1241	97
927	1242	96
928	1243	95
929	1245	93
930	1246	92
931	1247	91
932	1249	89
933	1250	88
934	1251	87
935	1253	85
936	1254	84
937	1256	83
938	1257	81
939	1259	80
940	1260	79
941	1262	77
942	1263	76
943	1265	75
944	1266	73
945	1268	72
946	1271	71
947	1273	69
948	1274	68
949	1276	67
950	1278	65
951	1279	64
952	1280	63
953	1282	61
954	1283	60
955	1285	59
956	1286	57
957	1287	56
958	1289	55
959	1290	53
960	1291	52
961	1292	51
962	1294	49
963	1295	48
964	1296	47
965	1297	45
966	1298	44
967	1300	42
968	1301	41
969	1302	40
970	1303	38
971	1304	37
972	1306	36
973	1307	34
974	1309	33
975	1310	32
976	1312	30
977	1313	29
978	1315	28
979	1316	26
980	1318	25
981	1319	24
982	1320	22
983	1322	21
984	1323	20
985	1324	18
986	1326	17
987	1327	16
988	1328	14
989	1329	13
990	1331	12
991	1332	10
992	1334	9
993	1335	8
994	1337	6
995	1338	5
996	1339	4
997	1340	2
998	1342	1
999	1343	0
